time,epoch,batch,loss,cost
0min2sec,0,0,-10.400,35.944
0min8sec,0,10,186.307,30.757
0min8sec,0,20,192.197,26.678
0min8sec,0,30,151.060,24.276
0min8sec,0,40,113.827,22.910
0min8sec,0,50,94.062,21.876
0min8sec,0,60,81.735,21.009
0min9sec,0,70,71.022,20.326
0min8sec,0,80,61.748,19.794
0min8sec,0,90,53.803,19.392
0min8sec,0,100,48.003,19.064
0min8sec,0,110,43.763,18.761
0min9sec,0,120,39.824,18.494
0min9sec,0,130,33.529,18.323
0min10sec,0,140,29.653,18.189
0min10sec,0,150,27.456,18.022
0min9sec,0,160,23.864,17.894
0min9sec,0,170,22.240,17.751
0min9sec,0,180,20.870,17.602
0min8sec,0,190,19.797,17.452
1min29sec,1,0,-81.555,14.836
0min8sec,1,10,-68.621,14.636
0min8sec,1,20,-61.994,14.544
0min8sec,1,30,-57.439,14.464
0min8sec,1,40,-56.198,14.442
0min8sec,1,50,-56.586,14.440
0min8sec,1,60,-54.922,14.402
0min8sec,1,70,-53.258,14.369
0min8sec,1,80,-51.466,14.332
0min8sec,1,90,-49.810,14.302
0min8sec,1,100,-47.774,14.267
0min8sec,1,110,-45.690,14.227
0min8sec,1,120,-44.071,14.194
0min8sec,1,130,-41.692,14.149
0min8sec,1,140,-39.346,14.104
0min8sec,1,150,-37.043,14.062
0min8sec,1,160,-34.913,14.019
0min8sec,1,170,-32.952,13.980
0min8sec,1,180,-30.947,13.936
0min8sec,1,190,-29.011,13.894
1min30sec,2,0,-29.951,12.941
0min8sec,2,10,-35.112,13.089
0min8sec,2,20,-36.227,13.101
0min8sec,2,30,-34.077,13.050
0min9sec,2,40,-33.248,13.024
0min8sec,2,50,-32.155,12.996
0min9sec,2,60,-30.693,12.960
0min8sec,2,70,-29.544,12.934
0min9sec,2,80,-28.868,12.919
0min9sec,2,90,-27.865,12.896
0min9sec,2,100,-26.902,12.877
0min8sec,2,110,-26.125,12.858
0min9sec,2,120,-25.362,12.843
0min10sec,2,130,-24.732,12.826
0min10sec,2,140,-23.926,12.805
0min10sec,2,150,-23.495,12.796
0min9sec,2,160,-22.801,12.778
0min9sec,2,170,-22.073,12.758
0min9sec,2,180,-21.240,12.735
0min9sec,2,190,-20.752,12.722
1min33sec,3,0,-25.240,12.326
0min8sec,3,10,-23.088,12.301
0min8sec,3,20,-22.859,12.289
0min8sec,3,30,-22.732,12.289
0min9sec,3,40,-22.623,12.285
0min9sec,3,50,-22.532,12.288
0min9sec,3,60,-22.869,12.296
0min9sec,3,70,-23.154,12.301
0min9sec,3,80,-22.703,12.291
0min9sec,3,90,-22.250,12.280
0min8sec,3,100,-21.921,12.270
0min8sec,3,110,-21.677,12.261
0min8sec,3,120,-21.316,12.253
0min8sec,3,130,-20.852,12.239
0min9sec,3,140,-20.375,12.228
0min9sec,3,150,-19.895,12.216
0min9sec,3,160,-19.374,12.201
0min8sec,3,170,-18.938,12.190
0min9sec,3,180,-18.563,12.181
0min9sec,3,190,-18.204,12.171
1min34sec,4,0,-20.000,12.030
0min8sec,4,10,-18.787,11.983
0min8sec,4,20,-17.941,11.952
0min8sec,4,30,-17.037,11.944
0min8sec,4,40,-16.780,11.946
0min8sec,4,50,-16.969,11.951
0min9sec,4,60,-17.257,11.955
0min9sec,4,70,-17.080,11.950
0min8sec,4,80,-17.003,11.947
0min8sec,4,90,-16.647,11.938
0min9sec,4,100,-16.521,11.934
0min9sec,4,110,-16.245,11.928
0min8sec,4,120,-16.009,11.921
0min9sec,4,130,-15.773,11.915
0min8sec,4,140,-15.498,11.907
0min8sec,4,150,-15.196,11.898
0min9sec,4,160,-15.025,11.892
0min9sec,4,170,-14.765,11.885
0min9sec,4,180,-14.514,11.879
0min8sec,4,190,-14.261,11.873
1min37sec,5,0,-13.669,11.799
0min9sec,5,10,-13.542,11.761
0min9sec,5,20,-13.177,11.740
0min9sec,5,30,-12.765,11.727
0min9sec,5,40,-12.816,11.726
0min9sec,5,50,-12.822,11.722
0min9sec,5,60,-12.770,11.721
0min9sec,5,70,-13.025,11.727
0min9sec,5,80,-13.074,11.725
0min9sec,5,90,-13.330,11.733
0min9sec,5,100,-13.479,11.739
0min9sec,5,110,-13.433,11.738
0min10sec,5,120,-13.280,11.735
0min9sec,5,130,-13.111,11.727
0min9sec,5,140,-12.872,11.719
0min8sec,5,150,-12.692,11.716
0min9sec,5,160,-12.550,11.711
0min8sec,5,170,-12.412,11.708
0min10sec,5,180,-12.247,11.704
0min8sec,5,190,-12.074,11.700
